date,close,volume,vix,rsi_14,beta,correlation_sp_vix
2023-05-16,4109.89990234375,3654200000,17.989999771118164,47.44482445078351,1.0,-0.9129267080237342
2023-05-17,4158.77001953125,4039080000,16.8700008392334,55.72584477831652,1.0,-0.9158140444922803
2023-05-18,4198.0498046875,3980500000,16.049999237060547,61.03960676785094,1.0,-0.9179273461734264
2023-05-19,4191.97998046875,4041900000,16.809999465942383,59.844335291160526,1.0,-0.9132570748139905
2023-05-22,4192.6298828125,3728520000,17.209999084472656,59.93479992235269,1.0,-0.9169760634427752
2023-05-23,4145.580078125,4155320000,18.530000686645508,50.98052005447769,1.0,-0.9221534314206808
2023-05-24,4115.240234375,0,20.030000686645508,46.18842967931947,1.0,-0.9278790184327297
2023-05-25,4151.27978515625,4147760000,19.139999389648438,51.96451537205042,1.0,-0.9269055189609826
2023-05-26,4205.4501953125,3715460000,17.950000762939453,59.07520765239777,1.0,-0.9453168214170644
2023-05-30,4205.52001953125,4228510000,17.459999084472656,59.08361532139758,1.0,-0.9404353650869981
2023-05-31,4179.830078125,5980670000,17.940000534057617,54.63616561171873,1.0,-0.9391252559523079
2023-06-01,4221.02001953125,4391860000,15.649999618530273,59.854092689407814,1.0,-0.9322459882767149
2023-06-02,4282.3701171875,4454200000,14.600000381469727,66.1073043425495,1.0,-0.9301868363612934
2023-06-05,4273.7900390625,3813290000,14.729999542236328,64.59199528682088,1.0,-0.9317630516256259
2023-06-06,4283.85009765625,3996560000,13.960000038146973,65.5879871670021,1.0,-0.9262105043410636
2023-06-07,4267.52001953125,4537800000,13.9399995803833,62.51398639009566,1.0,-0.9124928960346649
2023-06-08,4293.93017578125,3826740000,13.649999618530273,65.34301801322049,1.0,-0.9141177354733108
2023-06-09,4298.85986328125,3786510000,13.829999923706055,65.86092690973709,1.0,-0.9126907458100506
2023-06-12,4338.93017578125,3945670000,15.010000228881836,69.81014952957216,1.0,-0.8118741067179375
2023-06-13,4369.009765625,4275400000,14.609999656677246,72.39198703128139,1.0,-0.8123620910357772
2023-06-14,4372.58984375,4252110000,13.880000114440918,72.69133320991699,1.0,-0.7782961243827695
2023-06-15,4425.83984375,4176690000,14.5,76.73244693633276,1.0,-0.7048293126024738
