ticker,date,open,high,low,close,volume,updated_at,log_return,macd,rsi_14,sp500_value
AAPL,2023-04-03,161.92416632467473,163.91530912930577,161.87487733545584,163.79702758789062,56976200,2026-04-01 12:22:23.916,,0.0,,4124.509765625
AAPL,2023-04-04,164.22091988909426,164.45748300799937,162.75219201536794,163.2647705078125,46278300,2026-04-01 12:22:23.916,-0.0032547827539266957,-0.04245925425124142,0.0,4100.60009765625
AAPL,2023-04-05,162.38746386000238,162.69303455117807,159.489445623491,161.42144775390625,51511700,2026-04-01 12:22:23.916,-0.01135460918705772,-0.22228687536653524,0.0,4090.3798828125
AAPL,2023-04-06,160.11047335808198,162.60435849941234,159.6866210280676,162.3086395263672,45390100,2026-04-01 12:22:23.916,0.0054810722167299274,-0.28987114509968137,29.014201393197624,4105.02001953125
AAPL,2023-04-10,159.11488161033475,159.71617126464844,157.7940207437735,159.71617126464844,47716900,2026-04-01 12:22:23.916,-0.016101394574443356,-0.5463249938869694,15.166517889826622,4109.10986328125
AAPL,2023-04-11,160.03160702009572,160.04145880285023,158.21787125365222,158.5037384033203,47644200,2026-04-01 12:22:23.916,-0.007620131181536618,-0.8377427390668686,12.227331497842897,4108.93994140625
AAPL,2023-04-12,158.9177372546322,159.7457382241708,157.49829842634344,157.81373596191406,50133100,2026-04-01 12:22:23.916,-0.004362727903127205,-1.1115574892878612,10.92923060649133,4091.949951171875
AAPL,2023-04-13,159.32188371142138,163.4323331532267,159.11487595150933,163.1957550048828,68445600,2026-04-01 12:22:23.916,0.03353497991534052,-0.884082540998719,52.91686566376515,4146.22021484375
AAPL,2023-04-14,162.23961256067847,163.94491858408577,161.48061917083933,162.85076904296875,49386500,2026-04-01 12:22:23.916,-0.0021161770803395947,-0.7233066606285661,51.24918069861984,4137.64013671875
AAPL,2023-04-17,162.73245273206868,163.02817163401676,161.68759231395518,162.87045288085938,41516200,2026-04-01 12:22:23.917,0.0001208630975798497,-0.5875296201577953,51.34340320887491,4151.31982421875
AAPL,2023-04-18,163.72806193096773,165.01935243982652,163.2844759960185,164.0927734375,49923000,2026-04-01 12:22:23.917,0.007476842363580191,-0.3769490497987249,56.91249206690024,4154.8701171875
AAPL,2023-04-19,163.4323220199929,165.75862101045766,163.17602528319068,165.23619079589844,47720200,2026-04-01 12:22:23.917,0.006943950135331313,-0.1164557760577054,61.36705024847638,4154.52001953125
AAPL,2023-04-20,163.71818673436218,165.47276665465435,163.1957564794937,164.2701873779297,52456400,2026-04-01 12:22:23.917,-0.005863353485497177,0.011901425309474689,56.09104347879041,4129.7900390625
AAPL,2023-04-21,162.6930683177726,164.07307012591417,162.141067594516,162.6634979248047,58337300,2026-04-01 12:22:23.917,-0.009828919198039278,-0.015838403786716526,48.60594602431524,4133.52001953125
AAPL,2023-04-24,162.64375061086378,163.23518844762253,161.5496011414824,162.9690399169922,41949600,2026-04-01 12:22:23.917,0.001876606581641163,-0.013017673316767286,49.973142129349064,4137.0400390625
AAPL,2023-04-25,162.83105575677226,163.93505711689548,161.3918982344198,161.43133544921875,48714100,2026-04-01 12:22:23.917,-0.00948035885019211,-0.133325233217505,43.67594992469949,4071.6298828125
AAPL,2023-04-26,160.73144699304368,162.91974586384254,160.47516529354857,161.42144775390625,45498800,2026-04-01 12:22:23.917,-6.125203702748446e-05,-0.22685267911091955,43.6378713458065,4055.989990234375
AAPL,2023-04-27,162.83103216774902,166.15290259103057,162.83103216774902,166.0050506591797,64902300,2026-04-01 12:22:23.917,0.0279995808321422,0.06809958426060803,60.729992181529845,4135.35009765625
AAPL,2023-04-28,166.08393356927388,167.424513091262,165.4826438930684,167.25692749023438,55275900,2026-04-01 12:22:23.917,0.00751290457065921,0.3982762946870082,63.945892753886994,4169.47998046875
AAPL,2023-05-01,166.86264216717663,168.01593249804148,166.2317821133474,167.168212890625,52472900,2026-04-01 12:22:23.917,-0.0005305498359920774,0.6453460422637818,63.54873166684179,4167.8701171875
AAPL,2023-05-02,167.66109333275145,167.91739013162538,165.14750459229282,166.1332244873047,48425700,2026-04-01 12:22:23.917,-0.006210544653873887,0.7490016579947962,58.94877352561087,4119.580078125
AAPL,2023-05-03,167.07950544573387,168.47922575134587,164.77292473257992,165.05877685546875,65136000,2026-04-01 12:22:23.917,-0.006488389797616399,0.7359667691134746,54.53550094466727,4090.75
AAPL,2023-05-04,162.53534351356944,164.6546351492701,161.9636242025262,163.4224853515625,81235400,2026-04-01 12:22:23.917,-0.009962851625271543,0.5868367872667477,48.57162357648623,4061.219970703125
AAPL,2023-05-05,168.53837432535954,171.81097141948842,168.32151475691046,171.09140014648438,113453200,2026-04-01 12:22:23.917,0.0458591352776991,1.075074741970127,66.86229765540335,4136.25
AAPL,2023-05-08,170.0169462399646,171.36739258858663,169.65223472844943,171.0223846435547,55962800,2026-04-01 12:22:23.917,-0.0004034652032992693,1.4398402818377178,66.63262396908334,4138.1201171875
AAPL,2023-05-09,170.57881302608763,171.06180609803263,169.14952233576255,169.3170928955078,45326900,2026-04-01 12:22:23.917,-0.010021206070204545,1.5731821433503512,61.05219077028326,4119.169921875
AAPL,2023-05-10,170.5492304195713,171.54480192353225,169.44521410372417,171.08151245117188,53724500,2026-04-01 12:22:23.917,0.010366877713866471,1.8004756786812948,64.37652817535886,4137.64013671875
AAPL,2023-05-11,171.36736154745756,172.0967844383617,169.71134476851833,171.26878356933594,49514700,2026-04-01 12:22:23.917,0.0010940322764124992,1.972975424578408,64.72071595725285,4130.6201171875
AAPL,2023-05-12,171.3773676163626,171.8116866019269,168.79121464447562,170.3409423828125,45533100,2026-04-01 12:22:23.917,-0.005432184142567732,2.0116249265747967,61.54779515024216,4124.080078125
AAPL,2023-05-15,170.92337524039573,170.97273242564646,169.25520178613013,169.8474578857422,37266700,2026-04-01 12:22:23.917,-0.002901244385922277,1.9796150901780436,59.86672449480319,4136.27978515625
AAPL,2023-05-16,169.76848940168068,170.9036293539558,169.58094113474692,169.8474578857422,42110300,2026-04-01 12:22:23.917,0.0,1.9319764424007815,59.86672449480319,4109.89990234375
AAPL,2023-05-17,169.49202872106457,170.69625612547324,168.21868321528598,170.45936584472656,57951600,2026-04-01 12:22:23.917,0.0035962171533848496,1.9214490604726109,61.3835236080868,4158.77001953125
AAPL,2023-05-18,170.76540150488879,172.97647339745131,170.35082834910114,172.78892517089844,65496700,2026-04-01 12:22:23.917,0.013573819041209655,2.077138048679643,66.56441762329732,4198.0498046875
AAPL,2023-05-19,174.11158416944232,174.11158416944232,172.68031671339108,172.89747619628906,55809500,2026-04-01 12:22:23.917,0.0006280318145535644,2.184104852876658,66.78801757357743,4191.97998046875
AAPL,2023-05-22,171.73274586766902,172.45332751081392,171.2095929310653,171.9499053955078,43570900,2026-04-01 12:22:23.917,-0.005495608992370106,2.1674309762977373,62.837584440726026,4192.6298828125
AAPL,2023-05-23,170.89373741791002,171.1405082441651,169.06762727894406,169.34400939941406,50747300,2026-04-01 12:22:23.917,-0.015270982134779992,1.9217895863974093,53.47075575669058,4145.580078125
AAPL,2023-05-24,168.88004898113246,170.19287135053577,168.3174194294986,169.620361328125,45143500,2026-04-01 12:22:23.917,0.0016305665952261676,1.729479938066163,54.24961319225371,4115.240234375
AAPL,2023-05-25,170.18299842572435,171.65374258398057,169.47229739906246,170.75550842285156,56058300,2026-04-01 12:22:23.917,0.006669986941149884,1.6496538571800556,57.403730647211965,4151.27978515625
AAPL,2023-05-26,171.08125526170468,173.49960591702484,170.87396117733175,173.1639862060547,54835000,2026-04-01 12:22:23.917,0.014006284578136723,1.7604418636110495,63.20066345357667,4205.4501953125
AAPL,2023-05-30,174.67423726963298,176.67801481811213,174.28927545149398,175.0098419189453,55964400,2026-04-01 12:22:23.917,0.01060316920715953,1.974427317386045,66.91666413216481,4205.52001953125
